age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
42.7,4,10,0,2,4,5,4,3,6,2
38.6,0,8,0,1,2,4,5,2,2,2
43.4,2,10,0,3,6,4,4,4,6,4
75.8,4,10,1,3,2,4,4,0,3,2
37.3,1,8,0,3,6,3,3,4,6,2
67.4,3,9,1,1,6,2,3,4,3,1
63.6,5,10,0,3,4,4,5,4,6,2
24.1,0,9,0,3,6,5,3,1,5,1
74.3,6,10,0,3,4,3,3,4,1,1
66.7,0,6,0,3,6,3,3,1,4,4
67.7,3,8,1,3,2,3,3,4,6,2
60.8,0,6,0,3,4,3,5,2,6,5
43.1,2,8,1,3,7,5,5,3,6,4
55,2,7,0,3,4,4,4,4,2,2
35.8,0,8,1,3,6,5,4,1,6,3
58.3,0,7,1,3,6,4,4,4,4,2
80,3,9,0,3,2,3,4,4,2,2
52.2,4,7,0,3,6,3,3,2,1,1
54.1,3,7,1,2,1,3,3,1,4,3
74.2,2,7,1,3,2,3,3,1,4,1
22.8,0,6,1,3,2,5,2,2,1,1
31.8,2,8,0,3,4,3,3,2,3,1
40.8,2,7,0,3,2,3,3,2,4,1
64.4,2,7,0,3,6,4,4,2,2,2
48.5,4,9,1,3,3,4,5,1,6,1
43.6,0,9,1,3,4,5,5,3,5,5
30.7,0,9,1,2,3,3,4,3,2,2
36.9,2,8,1,2,3,3,3,1,4,2
62.2,2,7,0,3,6,5,4,1,5,4
68.2,2,7,0,3,4,5,5,1,2,2
69.3,2,7,0,2,4,4,4,1,2,2
54.3,1,4,0,3,2,4,2,2,2,2
46.5,2,1,0,3,6,3,1,2,2,2
65.7,3,10,0,3,5,5,4,4,5,2
80,7,8,0,2,2,1,3,2,2,2
56.8,1,7,0,3,6,2,2,2,6,3
33.2,2,7,1,3,6,4,4,4,4,4
15.9,0,8,0,3,1,4,4,1,2,1
37.3,2,10,0,3,6,4,4,1,6,1
51.7,2,5,1,2,4,1,2,2,6,2
39.7,0,8,1,3,2,4,3,2,3,2
70.8,2,8,0,3,4,4,3,2,2,2
48.2,2,7,0,1,4,5,5,2,2,2
75.7,2,8,0,3,4,3,5,2,3,2
22.8,0,8,1,3,2,5,4,4,6,1
60.3,2,6,0,3,4,3,4,2,4,1
62.5,1,8,1,3,6,4,4,2,4,2
54.1,2,8,1,2,2,5,5,3,2,2
19.5,0,4,0,3,2,2,2,1,6,1
76.9,5,5,0,3,1,2,2,1,2,1
66.4,2,8,1,2,3,2,2,2,3,3
59.8,1,8,0,3,6,4,4,2,3,1
78.8,2,6,0,3,2,4,4,4,1,1
32.3,0,10,0,3,7,5,5,4,3,3
43.9,2,8,0,3,3,4,3,2,4,4
71.2,4,5,0,3,4,3,3,2,4,2
56.4,1,8,0,3,4,4,4,3,3,3
70.1,0,10,0,3,5,4,4,4,2,2
62.2,2,10,1,3,2,5,4,1,5,4
21.3,0,8,0,3,2,4,5,1,6,1
59,4,10,0,3,6,2,5,2,6,5
61.5,0,7,0,3,7,5,3,4,3,2
66.9,2,10,0,3,5,3,4,4,4,2
37,2,7,0,3,6,2,2,1,4,4
37.8,1,7,0,3,4,5,4,3,6,4
30.3,0,8,1,3,4,4,4,3,4,2
33.3,1,2,1,3,4,2,1,4,2,2
68.3,0,5,1,2,2,2,3,2,2,1
60.1,3,10,0,3,2,4,4,4,6,1
34.7,2,9,0,3,6,5,5,2,5,4
59.1,2,10,0,3,4,5,5,1,4,1
49.8,1,8,1,2,3,3,3,3,6,6
40.4,3,8,0,3,6,4,4,2,6,3
58.3,2,9,1,3,5,3,5,2,6,1
78.8,2,8,0,3,5,3,3,2,1,1
64.6,0,8,0,3,3,1,5,2,1,1
59.3,2,6,1,2,3,3,0,1,5,4
67.3,2,8,1,3,4,3,4,2,6,3
17.3,0,7,0,3,1,4,2,3,6,1
50,2,8,1,3,2,3,5,2,5,3
36.6,0,8,1,3,4,3,3,4,2,2
56,6,9,1,3,7,4,5,4,6,4
22.8,0,7,0,3,6,3,3,2,6,2
70.8,3,8,0,2,2,2,4,4,3,1
16.4,0,10,1,3,1,3,5,3,3,1
44.5,0,6,1,3,6,3,3,1,2,2
48.4,2,9,0,3,5,5,5,2,6,6
79.3,2,8,0,3,1,3,3,2,1,1
35.3,0,8,1,3,2,5,5,1,4,4
33.8,0,9,1,1,4,4,4,2,6,3
27.3,0,8,1,2,6,4,5,3,3,3
59.4,2,8,1,3,4,4,4,1,3,1
34.9,1,7,0,3,6,3,3,4,2,1
58.8,1,5,1,2,2,3,3,2,1,1
67.1,2,7,0,2,4,4,4,3,3,1
72.9,3,10,0,2,1,3,3,2,1,1
80,5,10,1,2,7,2,4,4,2,2
60.7,3,10,1,2,3,5,5,2,4,4
49.4,3,8,0,3,2,2,3,2,5,4
63.5,3,9,0,3,1,4,5,2,2,1
80,2,8,1,3,7,5,5,4,1,1
45.3,2,8,1,2,2,3,3,3,4,2
70.3,1,7,0,3,2,3,3,3,4,1
29.9,0,3,1,3,4,1,1,3,2,2
39.8,1,7,0,3,7,4,4,4,2,2
66.2,2,10,1,3,7,4,5,2,6,3
50.8,2,7,0,3,2,3,4,2,3,3
52.5,2,10,1,2,1,4,3,2,5,2
30.7,0,10,0,3,4,5,4,1,6,3
42.7,3,8,1,2,3,1,3,2,1,1
